production_cost;Genre_1;Genre_2;Genre_3;id;original_language;Title;popularity;Production_Companies;release_date;WorldwideBox_office;runtime;title2;vote_average;vote_count;Cast;Director;DomesticBox_office;InternationalBox_office;IMDB_Rating;Metascore;Year;Month
225000000; Action; Adventure; Fantasy;49521;en;Man of Steel;99398009;Legendary Pictures;12/06/2013 00:00;662845518;143;Man of Steel;65;6359;;;;;;;2013;6
225000000; Adventure; Family; Fantasy;2454;en;The Chronicles of Narnia: Prince Caspian;53978602;Walt Disney;15/05/2008 00:00;419651413;150;The Chronicles of Narnia: Prince Caspian;63;1630;;;;;;;2008;5
220000000; Science Fiction; Action; Adventure;24428;en;The Avengers;144448633;Paramount Pictures;25/04/2012 00:00;1519557910;143;The Avengers;74;11776;;;;;;;2012;4
380000000; Adventure; Action; Fantasy;1865;en;Pirates of the Caribbean: On Stranger Tides;135413856;Walt Disney Pictures;14/05/2011 00:00;1045713802;136;Pirates of the Caribbean: On Stranger Tides;64;4948;;;;;;;2011;5
225000000; Action; Comedy; Science Fiction;41154;en;Men in Black 3;52035179;Amblin Entertainment;23/05/2012 00:00;624026776;106;Men in Black 3;62;4160;;;;;;;2012;5
250000000; Action; Adventure; Fantasy;122917;en;The Hobbit: The Battle of the Five Armies;120965743;WingNut Films;10/12/2014 00:00;956019788;144;The Hobbit: The Battle of the Five Armies;71;4760;;;;;;;2014;12
215000000; Action; Adventure; Fantasy;1930;en;The Amazing Spider-Man;89866276;Columbia Pictures;27/06/2012 00:00;752215857;136;The Amazing Spider-Man;65;6586;;;;;;;2012;6
200000000; Action; Adventure;;20662;en;Robin Hood;;;;;;;;;;;;;;;;
250000000; Adventure; Fantasy;;57158;en;The Hobbit: The Desolation of Smaug;94370564;WingNut Films;11/12/2013 00:00;958400000;161;The Hobbit: The Desolation of Smaug;76;4524;;;;;;;2013;12
180000000; Adventure; Fantasy;;2268;en;The Golden Compass;42990906;New Line Cinema;04/12/2007 00:00;372234864;113;The Golden Compass;58;1303;;;;;;;2007;12
207000000; Adventure; Drama; Action;254;en;King Kong;6122601;WingNut Films;14/12/2005 00:00;550000000;187;King Kong;66;2337;;;;;;;2005;12
200000000; Drama; Romance; Thriller;597;en;Titanic;100025899;Paramount Pictures;18/11/1997 00:00;1845034188;194;Titanic;75;7562;;;;;;;1997;11
250000000; Adventure; Action; Science Fiction;271110;en;Captain America: Civil War;198372395;Studio Babelsberg;27/04/2016 00:00;1153304495;147;Captain America: Civil War;71;7241;;;;;;;2016;4
209000000; Thriller; Action; Adventure;44833;en;Battleship;64928382;Universal Pictures;11/04/2012 00:00;303025485;131;Battleship;55;2114;;;;;;;2012;4
150000000; Action; Adventure; Science Fiction;135397;en;Jurassic World;418708552;Universal Studios;09/06/2015 00:00;1513528810;124;Jurassic World;65;8662;;;;;;;2015;6
200000000; Action; Adventure; Thriller;37724;en;Skyfall;93004993;Columbia Pictures;25/10/2012 00:00;1108561013;143;Skyfall;69;7604;;;;;;;2012;10
200000000; Action; Adventure; Fantasy;558;en;Spider-Man 2;35149586;Columbia Pictures;25/06/2004 00:00;783766341;127;Spider-Man 2;67;4321;;;;;;;2004;6
200000000; Action; Adventure; Science Fiction;68721;en;Iron Man 3;7768208;Marvel Studios;18/04/2013 00:00;1215439994;130;Iron Man 3;68;8806;;;;;;;2013;4
200000000; Family; Fantasy; Adventure;12155;en;Alice in Wonderland;78530105;Walt Disney Pictures;03/03/2010 00:00;1025491110;108;Alice in Wonderland;64;4645;;;;;;;2010;3
210000000; Adventure; Action; Science Fiction;36668;en;X-Men: The Last Stand;3857526;Ingenious Film Partners;24/05/2006 00:00;459359555;104;X-Men: The Last Stand;63;3525;;;;;;;2006;5
200000000; Animation; Family;;62211;en;Monsters University;89186492;Walt Disney Pictures;20/06/2013 00:00;743559607;104;Monsters University;70;3528;;;;;;;2013;6
150000000; Science Fiction; Action; Adventure;8373;en;Transformers: Revenge of the Fallen;21939663;Paramount Pictures;19/06/2009 00:00;836297228;150;Transformers: Revenge of the Fallen;60;3138;;;;;;;2009;6
210000000; Science Fiction; Action; Adventure;91314;en;Transformers: Age of Extinction;116840296;Paramount Pictures;25/06/2014 00:00;1091405097;165;Transformers: Age of Extinction;58;3095;;;;;;;2014;6
200000000; Fantasy; Adventure; Family;68728;en;Oz: The Great and Powerful;46985445;Walt Disney Pictures;07/03/2013 00:00;491868548;130;Oz: The Great and Powerful;57;3530;;;;;;;2013;3
200000000; Action; Adventure; Fantasy;102382;en;The Amazing Spider-Man 2;89270217;Columbia Pictures;16/04/2014 00:00;705717432;142;The Amazing Spider-Man 2;65;4179;;;;;;;2014;4
170000000; Adventure; Action; Science Fiction;20526;en;TRON: Legacy;7379505;Walt Disney Pictures;10/12/2010 00:00;400062763;125;TRON: Legacy;63;2841;;;;;;;2010;12
200000000; Animation; Family; Adventure;49013;en;Cars 2;4998659;Walt Disney Pictures;11/06/2011 00:00;559852396;106;Cars 2;58;2033;;;;;;;2011;6
200000000; Adventure; Action; Thriller;44912;en;Green Lantern;51872839;De Line Pictures;16/06/2011 00:00;219851172;114;Green Lantern;51;2487;;;;;;;2011;6
200000000; Animation; Family; Comedy;10193;en;Toy Story 3;59995418;Walt Disney Pictures;16/06/2010 00:00;1066969703;103;Toy Story 3;76;4597;;;;;;;2010;6
200000000; Action; Science Fiction; Thriller;534;en;Terminator Salvation;71862892;Columbia Pictures;20/05/2009 00:00;371353001;115;Terminator Salvation;59;2463;;;;;;;2009;5
190000000; Action;;;168259;en;Furious 7;102322217;Universal Pictures;01/04/2015 00:00;1506249360;137;Furious 7;73;4176;;;;;;;2015;4
200000000; Action; Drama; Horror;72190;en;World War Z;81834855;Paramount Pictures;20/06/2013 00:00;531865000;116;World War Z;67;5560;;;;;;;2013;6
250000000; Action; Adventure; Fantasy;127585;en;X-Men: Days of Future Past;118078691;Twentieth Century Fox Film Corporation;15/05/2014 00:00;747862775;131;X-Men: Days of Future Past;75;6032;;;;;;;2014;5
190000000; Action; Adventure; Science Fiction;54138;en;Star Trek Into Darkness;78291018;Paramount Pictures;05/05/2013 00:00;467365246;132;Star Trek Into Darkness;74;4418;;;;;;;2013;5
195000000; Action; Family; Fantasy;81005;en;Jack the Giant Slayer;43349855;New Line Cinema;27/02/2013 00:00;197687603;114;Jack the Giant Slayer;55;2598;;;;;;;2013;2
105000000; Drama; Romance;;64682;en;The Great Gatsby;61196071;Village Roadshow Pictures;10/05/2013 00:00;351040419;143;The Great Gatsby;73;3769;;;;;;;2013;5
150000000; Adventure; Fantasy; Action;9543;en;Prince of Persia: The Sands of Time;62169881;Walt Disney Pictures;19/05/2010 00:00;335154643;116;Prince of Persia: The Sands of Time;62;2317;;;;;;;2010;5
180000000; Action; Science Fiction; Adventure;68726;en;Pacific Rim;56523205;Legendary Pictures;11/07/2013 00:00;407602906;131;Pacific Rim;67;4794;;;;;;;2013;7
195000000; Action; Science Fiction; Adventure;38356;en;Transformers: Dark of the Moon;28529607;Paramount Pictures;28/06/2011 00:00;1123746996;154;Transformers: Dark of the Moon;61;3299;;;;;;;2011;6
185000000; Adventure; Action;;217;en;Indiana Jones and the Kingdom of the Crystal Skull;75674458;Lucasfilm;21/05/2008 00:00;786636033;122;Indiana Jones and the Kingdom of the Crystal Skull;57;2495;;;;;;;2008;5
175000000; Adventure; Animation; Family;105864;en;The Good Dinosaur;51692953;Walt Disney Pictures;14/11/2015 00:00;331926147;93;The Good Dinosaur;66;1736;;;;;;;2015;11
185000000; Animation; Adventure; Comedy;62177;en;Brave;125114374;Walt Disney Pictures;21/06/2012 00:00;538983207;93;Brave;67;4641;;;;;;;2012;6
185000000; Action; Adventure; Science Fiction;188927;en;Star Trek Beyond;65352913;Paramount Pictures;07/07/2016 00:00;343471816;122;Star Trek Beyond;66;2568;;;;;;;2016;7
180000000; Animation; Family;;10681;en;WALL·E;66390712;Walt Disney Pictures;22/06/2008 00:00;521311860;98;WALL·E;78;6296;;;;;;;2008;6
140000000; Action; Comedy; Crime;5174;en;Rush Hour 3;2257178;New Line Cinema;08/08/2007 00:00;258022233;91;Rush Hour 3;61;783;;;;;;;2007;8
200000000; Action; Adventure; Science Fiction;14161;en;2012;45274225;Columbia Pictures;10/10/2009 00:00;769653595;158;2012;56;4903;;;;;;;2009;10
200000000; Animation; Drama;;17979;en;A Christmas Carol;39744242;Walt Disney;04/11/2009 00:00;325233863;96;A Christmas Carol;66;1095;;;;;;;2009;11
176000003; Science Fiction; Fantasy; Action;76757;en;Jupiter Ascending;8536908;Village Roadshow Pictures;04/02/2015 00:00;183987723;124;Jupiter Ascending;52;2768;;;;;;;2015;2
180000000; Action; Adventure;;258489;en;The Legend of Tarzan;42741719;Village Roadshow Pictures;29/06/2016 00:00;356743061;109;The Legend of Tarzan;55;2430;;;;;;;2016;6
180000000; Adventure; Family; Fantasy;411;en;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;67391328;Walt Disney;07/12/2005 00:00;748806957;143;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;67;2629;;;;;;;2005;12
178000000; Science Fiction;;;246655;en;X-Men: Apocalypse;139272042;Twentieth Century Fox Film Corporation;18/05/2016 00:00;543934787;144;X-Men: Apocalypse;64;4721;;;;;;;2016;5
185000000; Drama; Action; Crime;155;en;The Dark Knight;187322927;DC Comics;16/07/2008 00:00;1004558444;152;The Dark Knight;82;12002;;;;;;;2008;7
175000000; Animation; Comedy; Family;14160;en;Up;92201962;Pixar Animation Studios;13/05/2009 00:00;735099082;96;Up;77;6870;;;;;;;2009;5
175000000; Animation; Family; Adventure;15512;en;Monsters vs Aliens;36167578;DreamWorks Animation;19/03/2009 00:00;381509870;94;Monsters vs Aliens;60;1423;;;;;;;2009;3
140000000; Action; Science Fiction; Adventure;1726;en;Iron Man;120725053;Marvel Studios;30/04/2008 00:00;585174222;126;Iron Man;74;8776;;;;;;;2008;4
170000000; Adventure; Drama; Family;44826;en;Hugo;32319043;Paramount Pictures;22/11/2011 00:00;185770160;126;Hugo;70;2141;;;;;;;2011;11
170000000; Action; Adventure; Comedy;8487;en;Wild Wild West;40748915;Todman, Simon, LeMasters Productions;29/06/1999 00:00;222104681;106;Wild Wild West;51;1020;;;;;;;1999;6
145000000; Adventure; Action; Fantasy;1735;en;The Mummy: Tomb of the Dragon Emperor;60034162;Universal Pictures;01/07/2008 00:00;401128639;112;The Mummy: Tomb of the Dragon Emperor;52;1387;;;;;;;2008;7
175000000; Action; Adventure; Crime;297761;en;Suicide Squad;9023792;DC Comics;02/08/2016 00:00;745000000;123;Suicide Squad;59;7458;;;;;;;2016;8
175000000; Fantasy; Comedy; Family;2698;en;Evan Almighty;27082182;Columbia Pictures;09/06/2007 00:00;173000000;96;Evan Almighty;53;1151;;;;;;;2007;6
178000000; Action; Science Fiction;;137113;en;Edge of Tomorrow;79456485;Village Roadshow Pictures;27/05/2014 00:00;370541256;113;Edge of Tomorrow;76;4858;;;;;;;2014;5
175000000; Adventure; Action;;9804;en;Waterworld;44640292;Universal Pictures;28/07/1995 00:00;264218220;135;Waterworld;59;992;;;;;;;1995;7
175000000; Adventure; Action; Thriller;14869;en;G.I. Joe: The Rise of Cobra;32852443;Paramount Pictures;04/08/2009 00:00;302469017;118;G.I. Joe: The Rise of Cobra;56;1962;;;;;;;2009;8
175000000; Drama; Comedy; Animation;150540;en;Inside Out;128655964;Walt Disney Pictures;09/06/2015 00:00;857611174;94;Inside Out;80;6560;;;;;;;2015;6
175000000; Family; Adventure; Drama;278927;en;The Jungle Book;94199316;Walt Disney Pictures;07/04/2016 00:00;966550600;106;The Jungle Book;67;2892;;;;;;;2016;4
200000000; Adventure; Action; Science Fiction;10138;en;Iron Man 2;77300194;Marvel Studios;28/04/2010 00:00;623933331;124;Iron Man 2;66;6849;;;;;;;2010;4
170000000; Adventure; Fantasy; Drama;58595;en;Snow White and the Huntsman;77178973;Universal Pictures;30/05/2012 00:00;396600000;127;Snow White and the Huntsman;58;3118;;;;;;;2012;5
180000000; Fantasy; Adventure; Action;102651;en;Maleficent;110620647;Walt Disney Pictures;28/05/2014 00:00;758539785;97;Maleficent;70;4496;;;;;;;2014;5
170000000; Science Fiction; Action; Drama;119450;en;Dawn of the Planet of the Apes;243791743;Ingenious Media;26/06/2014 00:00;710644566;130;Dawn of the Planet of the Apes;73;4410;;;;;;;2014;6
27000000; Action; Adventure; Science Fiction;79698;en;The Lovers;2418535;Corsan;13/02/2015 00:00;0;109;The Lovers;48;34;;;;;;;2015;2
175000000; Drama; Action; Adventure;64686;en;47 Ronin;41796339;Mid Atlantic Films;06/12/2013 00:00;150962475;119;47 Ronin;59;1326;;;;;;;2013;12
170000000; Action; Adventure; Science Fiction;100402;en;Captain America: The Winter Soldier;72225265;Marvel Studios;20/03/2014 00:00;714766572;136;Captain America: The Winter Soldier;76;5764;;;;;;;2014;3
165000000; Comedy; Adventure; Fantasy;10192;en;Shrek Forever After;44041186;DreamWorks Animation;16/05/2010 00:00;752600867;93;Shrek Forever After;60;1959;;;;;;;2010;5
190000000; Adventure; Family; Mystery;158852;en;Tomorrowland;130311355;Walt Disney Pictures;19/05/2015 00:00;209154322;130;Tomorrowland;62;2846;;;;;;;2015;5
165000000; Adventure; Family; Animation;177572;en;Big Hero 6;20373459;Walt Disney Pictures;24/10/2014 00:00;652105443;102;Big Hero 6;78;6135;;;;;;;2014;10
165000000; Family; Animation; Comedy;82690;en;Wreck-It Ralph;62341073;Walt Disney Animation Studios;01/11/2012 00:00;471222889;108;Wreck-It Ralph;71;4570;;;;;;;2012;11
165000000; Adventure; Animation; Family;5255;en;The Polar Express;47323228;Golden Mean;10/11/2004 00:00;305875730;100;The Polar Express;64;1474;;;;;;;2004;11
165000000; Action; Adventure; Science Fiction;47933;en;Independence Day: Resurgence;48775723;Twentieth Century Fox Film Corporation;22/06/2016 00:00;389681935;120;Independence Day: Resurgence;49;2491;;;;;;;2016;6
165000000; Fantasy; Adventure; Animation;10191;en;How to Train Your Dragon;67263269;DreamWorks Animation;05/03/2010 00:00;494878759;98;How to Train Your Dragon;75;4227;;;;;;;2010;3
200000000; Action; Thriller; Science Fiction;296;en;Terminator 3: Rise of the Machines;69405188;Columbia Pictures;02/07/2003 00:00;435000000;109;Terminator 3: Rise of the Machines;59;2143;;;;;;;2003;7
170000000; Action; Science Fiction; Adventure;118340;en;Guardians of the Galaxy;481098624;Marvel Studios;30/07/2014 00:00;773328629;121;Guardians of the Galaxy;79;9742;;;;;;;2014;7
165000000; Adventure; Drama; Science Fiction;157336;en;Interstellar;724247784;Paramount Pictures;05/11/2014 00:00;675120017;169;Interstellar;81;10867;;;;;;;2014;11
160000000; Action; Thriller; Science Fiction;27205;en;Inception;16758371;Legendary Pictures;14/07/2010 00:00;825532764;148;Inception;81;13752;;;;;;;2010;7
15000000; Action; Adventure; Drama;315011;ja;シン・ゴジラ;9476999;Cine Bazar;29/07/2016 00:00;77000000;120;Shin Godzilla;65;143;;;;;;;2016;7
250000000; Adventure; Fantasy; Action;49051;en;The Hobbit: An Unexpected Journey;108849621;WingNut Films;26/11/2012 00:00;1021103568;169;The Hobbit: An Unexpected Journey;70;8297;;;;;;;2012;11
38000000; Action; Crime; Thriller;9799;en;The Fast and the Furious;6909942;Universal Pictures;22/06/2001 00:00;207283925;106;The Fast and the Furious;66;3428;;;;;;;2001;6
150000000; Fantasy; Drama; Thriller;4922;en;The Curious Case of Benjamin Button;60269279;Paramount Pictures;24/11/2008 00:00;333932083;166;The Curious Case of Benjamin Button;73;3292;;;;;;;2008;11
160000000; Action; Science Fiction; Adventure;49538;en;X-Men: First Class;3195174;Ingenious Film Partners;24/05/2011 00:00;353624124;132;X-Men: First Class;71;5181;;;;;;;2011;5
160000000; Action; Adventure; Science Fiction;131634;en;The Hunger Games: Mockingjay - Part 2;127284427;Studio Babelsberg;18/11/2015 00:00;653428261;137;The Hunger Games: Mockingjay - Part 2;66;3984;;;;;;;2015;11
150000000; Fantasy; Adventure; Action;27022;en;The Sorcerer's Apprentice;35580815;Walt Disney Pictures;13/07/2010 00:00;215283742;109;The Sorcerer's Apprentice;58;1470;;;;;;;2010;7
160000000; Adventure; Action; Drama;503;en;Poseidon;21133748;Virtual Studios;12/05/2006 00:00;181674817;99;Poseidon;55;583;;;;;;;2006;5
170000000; Fantasy;;;241259;en;Alice Through the Looking Glass;56268916;Walt Disney Pictures;25/05/2016 00:00;299370084;113;Alice Through the Looking Glass;65;1725;;;;;;;2016;5
160000000; Fantasy; Adventure; Animation;810;en;Shrek the Third;;;;;;;;;;;;;;;;
160000000; Action; Adventure; Fantasy;68735;en;Warcraft;63148529;Universal Pictures;25/05/2016 00:00;433677183;123;Warcraft;63;2268;;;;;;;2016;5
155000000; Science Fiction; Action; Thriller;87101;en;Terminator Genisys;;;;;;;;;;;;;;;;
155000000; Adventure; Family; Fantasy;10140;en;The Chronicles of Narnia: The Voyage of the Dawn Treader;49661984;Dune Entertainment;13/08/2010 00:00;415686217;113;The Chronicles of Narnia: The Voyage of the Dawn Treader;62;1514;;;;;;;2010;8
140000000; History; Romance; War;676;en;Pearl Harbor;3420669;Jerry Bruckheimer Films;21/05/2001 00:00;449220945;183;Pearl Harbor;66;1791;;;;;;;2001;5
150000000; Adventure; Science Fiction; Action;1858;en;Transformers;25468493;Paramount Pictures;27/06/2007 00:00;709709780;144;Transformers;66;4040;;;;;;;2007;6
155000000; War; History; Action;1966;en;Alexander;39019229;France 3 Cin\u00e9ma;21/11/2004 00:00;167298192;175;Alexander;56;927;;;;;;;2004;11
150000000; Adventure; Fantasy; Family;675;en;Harry Potter and the Order of the Phoenix;78144395;Warner Bros.;28/06/2007 00:00;938212738;138;Harry Potter and the Order of the Phoenix;74;5494;;;;;;;2007;6
150000000; Adventure; Fantasy; Family;674;en;Harry Potter and the Goblet of Fire;101250416;Patalex IV Productions Limited;05/11/2005 00:00;895921036;157;Harry Potter and the Goblet of Fire;75;5608;;;;;;;2005;11
150000000; Fantasy; Action;;8960;en;Hancock;56758411;Columbia Pictures;01/07/2008 00:00;624029371;92;Hancock;62;2961;;;;;;;2008;7
150000000; Drama; Horror; Action;6479;en;I Am Legend;70867401;Village Roadshow Pictures;14/12/2007 00:00;585349010;101;I Am Legend;69;4853;;;;;;;2007;12
150000000; Adventure; Comedy; Family;118;en;Charlie and the Chocolate Factory;53905592;Village Roadshow Pictures;13/07/2005 00:00;474968763;115;Charlie and the Chocolate Factory;67;3624;;;;;;;2005;7
150000000; Animation; Comedy; Family;2062;en;Ratatouille;65677399;Walt Disney Pictures;22/06/2007 00:00;623722818;111;Ratatouille;75;4369;;;;;;;2007;6
150000000; Action; Crime; Drama;272;en;Batman Begins;115040024;DC Comics;10/06/2005 00:00;374218673;140;Batman Begins;75;7359;;;;;;;2005;6
150000000; Family; Animation;;10527;en;Madagascar: Escape 2 Africa;44141021;DreamWorks Animation;30/10/2008 00:00;603900354;89;Madagascar: Escape 2 Africa;62;1810;;;;;;;2008;10
150000000; Adventure; Fantasy; Action;18360;en;Night at the Museum: Battle of the Smithsonian;81781591;Twentieth Century Fox Film Corporation;20/05/2009 00:00;413106170;105;Night at the Museum: Battle of the Smithsonian;59;1971;;;;;;;2009;5
150000000; Adventure; Action; Thriller;2080;en;X-Men Origins: Wolverine;5954334;Ingenious Film Partners;28/04/2009 00:00;373062864;107;X-Men Origins: Wolverine;62;4021;;;;;;;2009;4
150000000; Adventure; Action; Thriller;605;en;The Matrix Revolutions;73313918;Village Roadshow Pictures;05/11/2003 00:00;424988211;129;The Matrix Revolutions;64;3096;;;;;;;2003;11
150000000; Animation; Adventure; Family;109445;en;Frozen;165125366;Walt Disney Pictures;27/11/2013 00:00;1274219009;102;Frozen;73;5295;;;;;;;2013;11
150000000; Adventure; Action; Thriller;604;en;The Matrix Reloaded;7078591;Village Roadshow Pictures;15/05/2003 00:00;738599701;138;The Matrix Reloaded;67;3443;;;;;;;2003;5
170000000; Action; Adventure; Fantasy;76338;en;Thor: The Dark World;99499595;Marvel Studios;29/10/2013 00:00;644571402;112;Thor: The Dark World;68;4755;;;;;;;2013;10
150000000; Action; Adventure; Science Fiction;76341;en;Mad Max: Fury Road;434278564;Village Roadshow Pictures;13/05/2015 00:00;378858340;120;Mad Max: Fury Road;72;9427;;;;;;;2015;5
150000000; Thriller; Mystery;;13448;en;Angels & Demons;67447636;Columbia Pictures;13/05/2009 00:00;356613439;138;Angels & Demons;65;2129;;;;;;;2009;5
150000000; Adventure; Fantasy; Action;10195;en;Thor;86493424;Marvel Studios;21/04/2011 00:00;449326618;115;Thor;66;6525;;;;;;;2011;4
150000000; Animation; Family; Adventure;13053;en;Bolt;41845878;Walt Disney Animation Studios;21/11/2008 00:00;309979994;98;Bolt;63;1750;;;;;;;2008;11
150000000; Fantasy; Action; Adventure;19585;en;G-Force;26710398;Walt Disney Pictures;21/07/2009 00:00;292817841;88;G-Force;51;510;;;;;;;2009;7
150000000; Adventure;;;57165;en;Wrath of the Titans;44927635;Legendary Pictures;27/03/2012 00:00;301000000;99;Wrath of the Titans;55;1431;;;;;;;2012;3
150000000; Comedy; Fantasy;;62213;en;Dark Shadows;50306728;Village Roadshow Pictures;08/05/2012 00:00;245527149;113;Dark Shadows;57;2320;;;;;;;2012;5
150000000; Action; Adventure; Thriller;177677;en;Mission: Impossible - Rogue Nation;114522237;Paramount Pictures;23/07/2015 00:00;682330139;131;Mission: Impossible - Rogue Nation;71;3224;;;;;;;2015;7
150000000; Drama; Horror; Thriller;7978;en;The Wolfman;21214571;Universal Pictures;11/02/2010 00:00;0;102;The Wolfman;55;549;;;;;;;2010;2
150000000; Family; Animation; Adventure;5559;en;Bee Movie;29332905;Pacific Data Images (PDI);28/10/2007 00:00;287594577;91;Bee Movie;57;1171;;;;;;;2007;10
150000000; Animation; Family;;49444;en;Kung Fu Panda 2;;;;;;;;;;;;;;;;
150000000; Action; Adventure; Family;10196;en;The Last Airbender;33769336;Paramount Pictures;30/06/2010 00:00;318502923;103;The Last Airbender;47;1151;;;;;;;2010;6
150000000; Adventure; Action; Thriller;956;en;Mission: Impossible III;63079003;Paramount Pictures;03/05/2006 00:00;397850012;126;Mission: Impossible III;65;2028;;;;;;;2006;5
150000000; Action; Drama; Thriller;117251;en;White House Down;39004588;Columbia Pictures;27/06/2013 00:00;205366737;131;White House Down;64;1891;;;;;;;2013;6
150000000; Adventure; Animation; Family;50321;en;Mars Needs Moms;12362599;Walt Disney Animation Studios;09/03/2011 00:00;38992758;88;Mars Needs Moms;55;199;;;;;;;2011;3
149000000; Adventure; Animation; Comedy;11619;en;Flushed Away;22550135;Aardman Animations;22/10/2006 00:00;64459316;85;Flushed Away;60;874;;;;;;;2006;10
150000000; Adventure; Family; Fantasy;266647;en;Pan;4803528;Warner Bros.;24/09/2015 00:00;128388320;111;Pan;59;954;;;;;;;2015;9
145000000; Animation; Adventure; Family;82703;en;Mr. Peabody & Sherman;3873494;Pacific Data Images (PDI);07/02/2014 00:00;272912430;92;Mr. Peabody & Sherman;67;843;;;;;;;2014;2
175000000; Adventure; Drama; War;652;en;Troy;66803149;Plan B Entertainment;13/05/2004 00:00;497409852;163;Troy;69;2759;;;;;;;2004;5
145000000; Animation; Family;;80321;en;Madagascar 3: Europe's Most Wanted;44989192;DreamWorks Animation;06/06/2012 00:00;746921274;93;Madagascar 3: Europe's Most Wanted;64;1808;;;;;;;2012;6
140000000; Adventure; Action; Thriller;36669;en;Die Another Day;54159392;Eon Productions;17/11/2002 00:00;431971116;133;Die Another Day;58;1092;;;;;;;2002;11
144000000; Action; Fantasy; Comedy;43074;en;Ghostbusters;6621806;Columbia Pictures;14/07/2016 00:00;229147509;116;Ghostbusters;53;2142;;;;;;;2016;7
140000000; Action; Thriller; Science Fiction;95;en;Armageddon;58485967;Jerry Bruckheimer Films;01/07/1998 00:00;553799566;151;Armageddon;64;2482;;;;;;;1998;7
140000000; Action; Adventure; Comedy;608;en;Men in Black II;91332849;Columbia Pictures;03/07/2002 00:00;441818803;88;Men in Black II;60;3114;;;;;;;2002;7
70000000; Adventure; Action; Animation;2310;en;Beowulf;35601665;Paramount Pictures;05/11/2007 00:00;195735876;115;Beowulf;55;841;;;;;;;2007;11
145000000; Action; Adventure; Animation;140300;en;Kung Fu Panda 3;56747978;Twentieth Century Fox Film Corporation;23/01/2016 00:00;521170825;95;Kung Fu Panda 3;67;1603;;;;;;;2016;1
145000000; Action; Thriller; Adventure;56292;en;Mission: Impossible - Ghost Protocol;7777477;Paramount Pictures;07/12/2011 00:00;694713380;133;Mission: Impossible - Ghost Protocol;68;3972;;;;;;;2011;12
145000000; Fantasy; Animation; Family;81188;en;Rise of the Guardians;61788035;DreamWorks Animation;21/11/2012 00:00;306941670;97;Rise of the Guardians;71;1922;;;;;;;2012;11
100000000; Comedy;;;7552;en;Fun with Dick and Jane;25159168;Imagine Entertainment;21/12/2005 00:00;202026112;90;Fun with Dick and Jane;59;627;;;;;;;2005;12
